ATC Code,ATC Name,URL
A03AC,"Synthetic antispasmodics, amides with tertiary amines",https://atcddd.fhi.no//atc_ddd_index/?code=A03AC&showdescription=no
A03AD,Papaverine and derivatives,https://atcddd.fhi.no//atc_ddd_index/?code=A03AD&showdescription=no
A03AE,Serotonin receptor antagonists,https://atcddd.fhi.no//atc_ddd_index/?code=A03AE&showdescription=no
A03AX,Other drugs for functional gastrointestinal disorders,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX&showdescription=no
A03AA01,oxyphencyclimine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AA01&showdescription=yes
A03AA03,camylofin,https://atcddd.fhi.no//atc_ddd_index/?code=A03AA03&showdescription=yes
A03AA04,mebeverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AA04&showdescription=yes
A03AA05,trimebutine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AA05&showdescription=yes
A03AA06,rociverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AA06&showdescription=yes
A03AA07,dicycloverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AA07&showdescription=yes
A03AA08,dihexyverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AA08&showdescription=yes
A03AA09,difemerine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AA09&showdescription=yes
A03AA30,piperidolate,https://atcddd.fhi.no//atc_ddd_index/?code=A03AA30&showdescription=yes
A03AB01,benzilone,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB01&showdescription=yes
A03AB02,glycopyrronium bromide,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB02&showdescription=yes
A03AB03,oxyphenonium,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB03&showdescription=yes
A03AB04,penthienate,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB04&showdescription=yes
A03AB05,propantheline,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB05&showdescription=yes
A03AB06,otilonium bromide,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB06&showdescription=yes
A03AB07,methantheline,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB07&showdescription=yes
A03AB08,tridihexethyl,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB08&showdescription=yes
A03AB09,isopropamide,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB09&showdescription=yes
A03AB10,hexocyclium,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB10&showdescription=yes
A03AB11,poldine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB11&showdescription=yes
A03AB12,mepenzolate,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB12&showdescription=yes
A03AB13,bevonium,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB13&showdescription=yes
A03AB14,pipenzolate,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB14&showdescription=yes
A03AB15,diphemanil,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB15&showdescription=yes
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB16&showdescription=yes
A03AB17,tiemonium iodide,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB17&showdescription=yes
A03AB18,prifinium bromide,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB18&showdescription=yes
A03AB19,timepidium bromide,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB19&showdescription=yes
A03AB21,fenpiverinium,https://atcddd.fhi.no//atc_ddd_index/?code=A03AB21&showdescription=yes
A03AB53,"oxyphenonium, combinations",https://atcddd.fhi.no//atc_ddd_index/?code=A03AB53&showdescription=yes
A03AC02,dimethylaminopropionylphenothiazine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AC02&showdescription=yes
A03AC04,nicofetamide,https://atcddd.fhi.no//atc_ddd_index/?code=A03AC04&showdescription=yes
A03AC05,tiropramide,https://atcddd.fhi.no//atc_ddd_index/?code=A03AC05&showdescription=yes
A03AD01,papaverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AD01&showdescription=yes
A03AD02,drotaverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AD02&showdescription=yes
A03AD30,moxaverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AD30&showdescription=yes
A03AE01,alosetron,https://atcddd.fhi.no//atc_ddd_index/?code=A03AE01&showdescription=yes
A03AE03,cilansetron,https://atcddd.fhi.no//atc_ddd_index/?code=A03AE03&showdescription=yes
A03AX01,fenpiprane,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX01&showdescription=yes
A03AX02,diisopromine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX02&showdescription=yes
A03AX03,chlorbenzoxamine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX03&showdescription=yes
A03AX04,pinaverium,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX04&showdescription=yes
A03AX05,fenoverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX05&showdescription=yes
A03AX06,idanpramine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX06&showdescription=yes
A03AX07,proxazole,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX07&showdescription=yes
A03AX08,alverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX08&showdescription=yes
A03AX09,trepibutone,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX09&showdescription=yes
A03AX10,isometheptene,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX10&showdescription=yes
A03AX11,caroverine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX11&showdescription=yes
A03AX12,phloroglucinol,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX12&showdescription=yes
A03AX13,silicones,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX13&showdescription=yes
A03AX14,valethamate,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX14&showdescription=yes
A03AX15,menthae piperitae aetheroleum,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX15&showdescription=yes
A03AX30,trimethyldiphenylpropylamine,https://atcddd.fhi.no//atc_ddd_index/?code=A03AX30&showdescription=yes
A03AX58,"alverine, combinations",https://atcddd.fhi.no//atc_ddd_index/?code=A03AX58&showdescription=yes
A03BA,"Belladonna alkaloids, tertiary amines",https://atcddd.fhi.no//atc_ddd_index/?code=A03BA&showdescription=no
A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",https://atcddd.fhi.no//atc_ddd_index/?code=A03BB&showdescription=no
A03BA01,atropine,https://atcddd.fhi.no//atc_ddd_index/?code=A03BA01&showdescription=yes
A03BA03,hyoscyamine,https://atcddd.fhi.no//atc_ddd_index/?code=A03BA03&showdescription=yes
A03BA04,belladonna total alkaloids,https://atcddd.fhi.no//atc_ddd_index/?code=A03BA04&showdescription=yes
A03BB01,butylscopolamine,https://atcddd.fhi.no//atc_ddd_index/?code=A03BB01&showdescription=yes
A03BB02,methylatropine,https://atcddd.fhi.no//atc_ddd_index/?code=A03BB02&showdescription=yes
A03BB03,methylscopolamine,https://atcddd.fhi.no//atc_ddd_index/?code=A03BB03&showdescription=yes
A03BB04,fentonium,https://atcddd.fhi.no//atc_ddd_index/?code=A03BB04&showdescription=yes
A03BB05,cimetropium bromide,https://atcddd.fhi.no//atc_ddd_index/?code=A03BB05&showdescription=yes
A03BB06,homatropine methylbromide,https://atcddd.fhi.no//atc_ddd_index/?code=A03BB06&showdescription=yes
A03CA,Synthetic anticholinergic agents in combination with psycholeptics,https://atcddd.fhi.no//atc_ddd_index/?code=A03CA&showdescription=no
A03CB,Belladonna and derivatives in combination with psycholeptics,https://atcddd.fhi.no//atc_ddd_index/?code=A03CB&showdescription=no
A03CC,Other antispasmodics in combination with psycholeptics,https://atcddd.fhi.no//atc_ddd_index/?code=A03CC&showdescription=no
